AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,AUM,Category,Risk
navi mutual fund,1,1,0.0576,37.11,0.2866,0.1632,10.0,10.0,Equity,High
navi mutual fund,2,2,0.0137,26.27,0.10060000000000001,0.0603,10.0,10.0,Hybrid,Moderate
navi mutual fund,0,0,0.0383,18.01,0.5232,0.0,10.0,10.0,Other,VeryHigh
navi mutual fund,0,0,0.041299999999999996,13.32,0.1301,0.0,10.0,10.0,Other,VeryHigh
navi mutual fund,0,0,0.053399999999999996,17.55,0.6448999999999999,0.0,10.0,10.0,Other,VeryHigh
navi mutual fund,0,0,0.04769999999999999,14.6,0.2698,0.0,10.0,10.0,Other,VeryHigh
navi mutual fund,0,0,0.048,14.51,0.28850000000000003,0.0,10.0,10.0,Other,VeryHigh
navi mutual fund,1,0,0.0493,30.6,0.2784,0.1502,500.0,500.0,Equity,VeryHigh
navi mutual fund,0,0,0.0499,14.9,0.2589,0.0,500.0,500.0,Other,VeryHigh
axis mutual fund,4,1,0.0138,1220.55,0.09699999999999999,0.0663,100.0,100.0,Debt,Moderate
axis mutual fund,0,5,0.0351,21.78,0.2278,0.1461,100.0,100.0,Other,High
axis mutual fund,4,4,0.0068000000000000005,2470.27,0.0725,0.0545,1000.0,1000.0,Debt,Moderate
axis mutual fund,0,0,0.003,11.52,0.07400000000000001,0.0,1000.0,1000.0,Other,LowtoModerate
axis mutual fund,0,0,0.0527,15.04,0.19269999999999998,0.0,1000.0,1000.0,Other,VeryHigh
axis mutual fund,3,3,0.0054,13.93,0.0682,0.0547,1000.0,1000.0,Debt,LowtoModerate
axis mutual fund,0,5,0.0054,1300.89,0.0679,0.0567,500.0,500.0,Debt,Low
franklin templeton mutual fund,4,4,0.056299999999999996,111.74,0.36939999999999995,0.2048,500.0,500.0,Equity,ModeratelyHigh
franklin templeton mutual fund,4,3,0.0317,145.29,0.5967,0.32420000000000004,500.0,500.0,Equity,VeryHigh
motilal oswal mutual fund,0,0,0.0768,12.91,0.0,0.0,500.0,500.0,Equity,VeryHigh
motilal oswal mutual fund,0,0,0.109,12.35,0.0,0.0,500.0,500.0,Equity,VeryHigh
motilal oswal mutual fund,0,0,0.059500000000000004,13.74,0.0,0.0,500.0,500.0,Equity,VeryHigh
motilal oswal mutual fund,0,0,0.0504,11.06,0.0,0.0,500.0,500.0,Equity,VeryHigh
motilal oswal mutual fund,0,0,0.0,10.9,0.0,0.0,500.0,500.0,Equity,VeryHigh
motilal oswal mutual fund,0,0,0.0,11.07,0.0,0.0,500.0,500.0,Equity,VeryHigh
uti mutual fund,0,1,0.0805,333.47,0.2789,0.0818,500.0,500.0,Equity,VeryHigh
tata mutual fund,0,0,0.0102,33.68,0.0818,0.0559,0.0,0.0,Debt,Moderate
tata mutual fund,3,4,0.0067,11.96,0.0727,0.0588,500.0,500.0,Debt,LowtoModerate
tata mutual fund,4,4,0.005699999999999999,3701.9,0.0717,0.056799999999999996,500.0,500.0,Debt,LowtoModerate
tata mutual fund,3,2,0.0054,13.4,0.0679,0.054299999999999994,500.0,500.0,Debt,LowtoModerate
tata mutual fund,3,3,0.0102,73.84,0.0818,0.0554,500.0,500.0,Debt,Moderate
lic mutual fund,1,2,0.0688,26.48,0.42829999999999996,0.1912,1000.0,1000.0,Equity,High
lic mutual fund,2,3,0.0696,22.88,0.315,0.1502,1000.0,1000.0,Equity,VeryHigh
